Image_name,scientific_name,llava_alt_text
obs_102691691_photo_171703626,Egregia menziesii,A pile of seaweed.
obs_10317797_photo_14298032,Dermasterias imbricata,Bird standing on wooden deck.
obs_130480768_photo_70327211,Hirudo michaelseni,"A red fish with an eyeball missing, in water."
obs_188731534_photo_330410184,Lonsdalea quercina,A hand holding a seashell with a hole in the top center.
obs_194599339_photo_342107100,Obama nungara,Snail on the ground by log.
obs_194795499_photo_341224314,Urticina columbiana,"A large, brown and white striped fish is seen in the ocean with a coral reef."
obs_195713651_photo_344383957,Parakontikia ventrolineata,An image of a shell on the ground.
obs_220102252_photo_389649357,Furia ithacensis,A bee is resting on the leaf of a plant.
obs_220822650_photo_391000325,Cucumaria miniata,A close-up of a red piece of trash on the shoreline.
obs_250956763_photo_448935283,Prostheceraeus crozieri,This is an underwater photograph of a coral reef.
obs_256022699_photo_458927175,Arthrophaga myriapodina,This is an image of a caterpillar.
obs_258568965_photo_463949088,Reticularia,Analyzing microscope slide with crystalline structure and circular shapes.
obs_263836670_photo_474047112,Pisaster ochraceus,"This is a sea bird with its mouth open, displaying its long purple tongue to eat the shellfish."
obs_264953671_photo_475827468,Peripatopsis orientalis,"""A brown butterfly on red stems."""
obs_291009479_photo_523542929,Macroperipatus torquatus,A leaf on the ground with grass and dirt around it.
obs_302755190_photo_545634287,Wilsoniana amaranthi,The close-up photo of the green leaf with small insects and white spots on it.
obs_318344322_photo_575337712,Mopalia muscosa,"""Seashells and coins found on the beach, showcasing natural beauty and financial exchange."""
obs_318533969_photo_575706140,Phylloporia amplectens,"A close-up of a plant with brown branches and green leaves, set against a blurred background."
obs_319669394_photo_577875426,Coleosporium ipomoeae,"Close-up of an object with yellow and green areas on the right side, possibly indicating pollen or some kind of chemical reaction."
obs_321389820_photo_581234419,Echinus esculentus,An exotic bird with long beak is swimming in the ocean.
obs_323944435_photo_586236533,Gymnosporangium juniperi-virginianae,Blueberries growing on branches in the photo.
obs_325267824_photo_588882003,Iflavirus dinococcinellae,A creepy crawly on a gray surface.
obs_325625055_photo_589595206,Mycocentrospora asiminae,Leaf with green and yellow spots.
obs_326876805_photo_592092171,Rhytisma acerinum,Dead leaf with brown spots on it.
obs_327076113_photo_592488640,Anthopleura artemisia,An aquatic fish with unique green and gold scales.
obs_331752340_photo_601901044,Phyllosticta asiminae,"This is a close-up photograph of plant leaves with spots and speckles, likely affected by some form of fungal or bacterial disease, set against a blurred background of vegetation."
obs_331831594_photo_602051260,Caulorhiza umbonata,Mushroom growing on tree stump in forest.
obs_332241462_photo_602909620,Ariolimax buttoni,A dead crayfish on the ground with red ants.
obs_333144263_photo_501540234,Erythricium aurantiacum,This is an image of moss on a rock in nature.
obs_333664707_photo_605748155,Aeolidia loui,"""A close-up photograph of an octopus in its natural habitat."""
obs_334025380_photo_606497684,Cryptomarasmius corbariensis,Small plant life on decaying wood.
obs_33435868_photo_52515163,Paranemertes peregrina,This is an image of a small worm with lots of eyes.
obs_334758419_photo_607987821,Illosporiopsis christiansenii,This is a photo of coral-like growth on a rock.
obs_336269939_photo_611037472,Peripatoides novaezealandiae,"A close-up photo of an intriguing, rusted piece of metal with jagged edges in the foreground of a dark, damp environment."
obs_337063055_photo_612648507,Charonia tritonis,"Red and white shell with pinkish interior, half-opened, underwater."
