#,Image,prompt_01,prompt_01_score,prompt_02,prompt_02_score,prompt_03,prompt_03_score
1,obs_102691691_photo_171703626,"A close-up view of a rocky intertidal zone shows dark brown and reddish seaweeds covering wet rocks, with a prominent central cluster of branching algae featuring small, oval air bladders.",1,"Dark brown kelp and red algae cover rocks in an intertidal zone, with no visible animals feeding.",1,No feeding activity is visible among the dark brown and reddish marine algae on the wet rocks.,1
2,obs_10317797_photo_14298032,"A white and grey seagull with a yellow beak stands on a dark paved surface, looking down at a small tan starfish, with a wooden deck in the background.",1,A seagull feeds on a starfish on a paved surface.,1,A seagull feeds on a starfish on a wooden deck.,0
3,obs_130480768_photo_70327211,"A golden-brown fish with a dark, C-shaped leech attached to its side rests in shallow water against a white background.",1,A leech feeding on a fish.,1,"A dark, curved leech feeds on the side of a pale fish.",1
4,obs_188731534_photo_330410184,"A person's fingers hold a small, textured brown and green object with a reddish, bubbly hollow interior.",1,"An insect has fed on a brown plant gall, leaving a bubbly, clear substance inside its cavity.",1,"An insect larva feeds within the reddish, hollowed interior of a brown plant gall.",1
5,obs_194599339_photo_342107100,"A dark-bodied snail with a pale, translucent shell is seen moving across rough, textured ground with scattered debris and green patches.",0,"A dark, slug-like creature is feeding on a snail.",1,A dark land planarian feeds on a snail.,1
6,obs_194795499_photo_341224314,"A large, pale fish with a dark head and prominent eye is partially obscured by a textured, orange sea anemone with pale tentacles on the ocean floor.",1,A sea anemone feeds on a sunfish caught in its tentacles.,1,A sea anemone feeds on a large pale fish.,0
7,obs_195713651_photo_344383957,"A shiny black flatworm is coiled around and preying on a mottled brown slug, resting on a wet, granular surface with green patches.",1,A dark flatworm is feeding on a brown slug.,1,A dark flatworm engulfing a mottled brown slug.,1
8,obs_220102252_photo_389649357,"A fuzzy, light-bodied insect with dark-veined wings is seen clinging to the underside of a brightly backlit, translucent green leaf, its veins clearly visible.",1,A fuzzy insect with patterned wings feeds on the underside of a bright green leaf.,1,The fuzzy insect is not feeding on the green leaf.,1
9,obs_220822650_photo_391000325,"A partial view of a bird wading in reflective blue water on a tidal flat, near a reddish-brown seashell standing upright in the shallow sand.",1,"A bird feeds on a large, reddish marine mollusk.",1,"A grey bird stands in shallow water, feeding on a reddish sea slug.",1
10,obs_250956763_photo_448935283,"A frilly white and brown nudibranch rests on a white colonial tunicate covered in numerous orange-rimmed openings, against a blurry green underwater background.",1,A nudibranch feeds on colonial sea squirts.,1,A translucent nudibranch with brown markings feeds on a colony of orange-rimmed sea squirts.,1
