Image_name,image_url,alt_text,model
obs_102691691_photo_171703626,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/medium.jpeg,Seaweed atop rocks.,llava
obs_10317797_photo_14298032,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/medium.jpg,Bird eating a small animal.,llava
obs_130480768_photo_70327211,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,"""Fish with long antennae feeding on water surface in fish aquarium.""",llava
obs_188731534_photo_330410184,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/medium.jpg,Hand holding a scallop.,llava
obs_194599339_photo_342107100,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/medium.jpeg,Slug feeding on slime mold.,llava
obs_194795499_photo_341224314,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/medium.png,The octopus is feeding on an underwater coral reef.,llava
obs_195713651_photo_344383957,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/medium.jpeg,Shellfish in a shell.,llava
obs_220102252_photo_389649357,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/medium.jpeg,Bee feeding on flower.,llava
obs_220822650_photo_391000325,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/medium.jpeg,Crab in the water near a seagull.,llava
obs_250956763_photo_448935283,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/medium.jpg,"""An underwater coral reef with anemone, possibly a sea anemone, surrounded by red and orange algae.""",llava
obs_256022699_photo_458927175,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/medium.jpeg,Caterpillar on plant.,llava
obs_258568965_photo_463949088,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/medium.jpg,The image does not provide enough context to confidently describe what is feeding on what.,llava
obs_263836670_photo_474047112,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/medium.jpeg,Starfish chewing off bird's foot.,llava
obs_264953671_photo_475827468,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/medium.jpeg,Moth feeding on tree sap.,llava
obs_291009479_photo_523542929,https://inaturalist-open-data.s3.amazonaws.com/photos/523542929/medium.jpg,"""A leaf on the ground is being consumed by a small animal.""",llava
obs_302755190_photo_545634287,https://inaturalist-open-data.s3.amazonaws.com/photos/545634287/medium.jpg,Feeding insects found on a leaf.,llava
obs_318344322_photo_575337712,https://inaturalist-open-data.s3.amazonaws.com/photos/575337712/medium.jpg,Mushrooms growing from green shells.,llava
obs_318533969_photo_575706140,https://inaturalist-open-data.s3.amazonaws.com/photos/575706140/medium.jpg,Branch with a green plant on it.,llava
obs_319669394_photo_577875426,https://inaturalist-open-data.s3.amazonaws.com/photos/577875426/medium.jpg,Spores are feeding on the plant.,llava
obs_321389820_photo_581234419,https://inaturalist-open-data.s3.amazonaws.com/photos/581234419/medium.jpg,Duck swimming with a fish in its mouth.,llava
obs_323944435_photo_586236533,https://inaturalist-open-data.s3.amazonaws.com/photos/586236533/medium.jpg,"This is an image of a plant with blueberries. There are also pine cones present in the image. It depicts a healthy, bushy plant with green needles and vibrant blue fruits. The background is mostly out of focus, but it appears to be a natural setting with greenery and possibly other plants. This type of image could be used for various purposes such as botanical education, gardening inspiration, or culinary references related to berries and pine cones.",llava
obs_325267824_photo_588882003,https://inaturalist-open-data.s3.amazonaws.com/photos/588882003/medium.jpg,Bug on bug.,llava
obs_325625055_photo_589595206,https://inaturalist-open-data.s3.amazonaws.com/photos/589595206/medium.jpg,Leaves of tree are spotted and being eaten by insects.,llava
obs_326876805_photo_592092171,https://inaturalist-open-data.s3.amazonaws.com/photos/592092171/medium.jpg,Mold growing on dead leaf.,llava
obs_327076113_photo_592488640,https://inaturalist-open-data.s3.amazonaws.com/photos/592488640/medium.jpg,"Fish, a green fish with a clear body and blue fins, is resting on top of a sea urchin, which provides a habitat for various small marine life.",llava
obs_331752340_photo_601901044,https://inaturalist-open-data.s3.amazonaws.com/photos/601901044/medium.jpg,"Green leaf covered in black and yellow spots with rusty edges, likely from moisture, feeding on a healthy green plant.",llava
obs_331831594_photo_602051260,https://inaturalist-open-data.s3.amazonaws.com/photos/602051260/medium.jpg,Mushroom growing out of a fallen tree stump.,llava
obs_332241462_photo_602909620,https://inaturalist-open-data.s3.amazonaws.com/photos/602909620/medium.jpg,A bug eating another bug.,llava
obs_333144263_photo_501540234,https://inaturalist-open-data.s3.amazonaws.com/photos/501540234/medium.jpeg,Moss covering moss.,llava
obs_333664707_photo_605748155,https://inaturalist-open-data.s3.amazonaws.com/photos/605748155/medium.jpg,"This is a close-up image of a sea anemone attached to a coral. The anemone has tentacles that are likely extended in an attempt to catch passing prey or food particles. It's common for these marine animals to attach themselves to structures like rocks, reefs, and corals, which provide them with the necessary food and protection from predators.",llava
obs_334025380_photo_606497684,https://inaturalist-open-data.s3.amazonaws.com/photos/606497684/medium.jpg,Fungi growing on decaying wood.,llava
obs_33435868_photo_52515163,https://inaturalist-open-data.s3.amazonaws.com/photos/52515163/medium.jpeg,Snail eating a slug.,llava
