Image_name,image_url,alt_text,model
obs_64497720_photo_103704678,https://inaturalist-open-data.s3.amazonaws.com/photos/103704678/medium.jpg,"A black and white hooded merganser swimming in rippling water, swallowing a long snake with its head tilted upward.",gemini-3.5-flash
obs_78431515_photo_128226886,https://static.inaturalist.org/photos/128226886/medium.jpeg,Several glossy black leeches cling to and feed on a mottled frog lying on the damp forest floor.,gemini-3.5-flash
obs_94545832_photo_156850036,https://inaturalist-open-data.s3.amazonaws.com/photos/156850036/medium.jpg,"A dark seal head emerges from the water, holding a hot dog in its mouth.",gemini-3.5-flash
obs_130480768_photo_70327211,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,"A dark leech attached to and feeding on the side of a small, yellowish-pink fish.",gemini-3.5-flash
obs_608490_photo_767186,https://inaturalist-open-data.s3.amazonaws.com/photos/767186/medium.jpg,A metallic green beetle with red legs and long antennae feeds on small yellow flowers among green leaves.,gemini-3.5-flash
obs_613295_photo_773078,https://inaturalist-open-data.s3.amazonaws.com/photos/773078/medium.jpg,A reddish-brown beetle with cream-colored markings feeds on yellow flower clusters on a leafy green branch.,gemini-3.5-flash
obs_613368_photo_773134,https://inaturalist-open-data.s3.amazonaws.com/photos/773134/medium.jpg,"A black butterfly with bright blue bands perched on a leafy stem feeds on a cluster of small, yellow-green flowers.",gemini-3.5-flash
obs_855273_photo_1084105,https://inaturalist-open-data.s3.amazonaws.com/photos/1084105/medium.jpg,"A small, greyish-brown butterfly perched on a delicate white flower feeds on its nectar.",gemini-3.5-flash
obs_855282_photo_1084115,https://inaturalist-open-data.s3.amazonaws.com/photos/1084115/medium.jpg,A brown spider on a yellow daisy-like flower grips a captured plume moth.,gemini-3.5-flash
obs_859795_photo_1090771,https://inaturalist-open-data.s3.amazonaws.com/photos/1090771/medium.jpg,"A brown skipper butterfly perched on a yellow daisy, feeding on nectar from its center.",gemini-3.5-flash
obs_890705_photo_1131787,https://inaturalist-open-data.s3.amazonaws.com/photos/1131787/medium.jpg,"A large, shiny black horsefly perched on tan fabric, biting through the clothing to feed on human blood.",gemini-3.5-flash
obs_1068463_photo_1339369,https://inaturalist-open-data.s3.amazonaws.com/photos/1339369/medium.jpg,A brown and white cottony cushion scale insect clings to and feeds on a fuzzy green plant stem.,gemini-3.5-flash
obs_1120591_photo_1407773,https://inaturalist-open-data.s3.amazonaws.com/photos/1407773/medium.jpg,"A shiny black beetle with white spots clings to a slender green stem, feeding on a small white flower.",gemini-3.5-flash
obs_1133892_photo_1425797,https://inaturalist-open-data.s3.amazonaws.com/photos/1425797/medium.jpg,"A fuzzy red and black moth perched on a green stem feeds on tiny, star-shaped white flowers.",gemini-3.5-flash
obs_1135272_photo_1427749,https://inaturalist-open-data.s3.amazonaws.com/photos/1427749/medium.jpg,"A horsefly with large, iridescent green eyes bites into hairy human skin to feed.",gemini-3.5-flash
obs_1214196_photo_1532470,https://inaturalist-open-data.s3.amazonaws.com/photos/1532470/medium.jpg,A striped-eyed hoverfly perched on a blue daisy feeds on nectar from its yellow center.,gemini-3.5-flash
obs_1480375_photo_1835178,https://inaturalist-open-data.s3.amazonaws.com/photos/1835178/medium.jpg,"An orange and brown jumping spider perched on green leaves, feeding on a captured fly.",gemini-3.5-flash
obs_1564429_photo_1936840,https://inaturalist-open-data.s3.amazonaws.com/photos/1936840/medium.jpg,"A small brown skipper butterfly perched on a cluster of orange flowers, feeding on their nectar.",gemini-3.5-flash
obs_1766483_photo_2135913,https://inaturalist-open-data.s3.amazonaws.com/photos/2135913/medium.jpg,"A cluster of small, striped caterpillars feeding on the stem and leaves of a green nettle plant.",gemini-3.5-flash
obs_2468967_photo_2762850,https://inaturalist-open-data.s3.amazonaws.com/photos/2762850/medium.jpg,"A shiny black wasp with a long ovipositor feeds on a tiny, pale insect against a textured yellowish-green background.",gemini-3.5-flash
obs_2827989_photo_3219314,https://inaturalist-open-data.s3.amazonaws.com/photos/3219314/medium.jpg,A vibrant blue moth with orange markings feeds on small pink and yellow flowers.,gemini-3.5-flash
