Image_name,image_url,gemini-2.5-flash,gemini-3.5-flash,llava
obs_102691691_photo_171703626,https://inaturalist-open-data.s3.amazonaws.com/photos/171703626/medium.jpeg,No feeding activity is visible among the dark brown and reddish marine algae on the wet rocks.,No feeding activity is depicted in this image.,Algae growing on the rocks with seaweed.
obs_10317797_photo_14298032,https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/medium.jpg,A seagull feeds on a starfish on a wooden deck.,"A seagull stands on a wooden boardwalk, looking down at a small starfish on the ground.",Seagull standing on dock with crab in beak.
obs_130480768_photo_70327211,https://inaturalist-open-data.s3.amazonaws.com/photos/70327211/medium.jpeg,"A dark, curved leech feeds on the side of a pale fish.","A dark leech is attached to the side of a small golden fish, feeding on its body.","An image shows a red-orange fish floating close to the camera with its open mouth, inside of which is a small black object that resembles an eye patch or some other form of artificial enhancement for marine life."
obs_188731534_photo_330410184,https://inaturalist-open-data.s3.amazonaws.com/photos/330410184/medium.jpg,"An insect larva feeds within the reddish, hollowed interior of a brown plant gall.","A close-up of a person holding an oak acorn cup filled with frothy, bubbling liquid produced by bacteria feeding on the plant tissue.",The image shows a human hand holding a brown and white nut or seed.
obs_194599339_photo_342107100,https://inaturalist-open-data.s3.amazonaws.com/photos/342107100/medium.jpeg,A dark land planarian feeds on a snail.,"A dark brown flatworm on rough ground feeds on a small, coiled snail.",Slug feeding on snail.
obs_194795499_photo_341224314,https://inaturalist-open-data.s3.amazonaws.com/photos/341224314/medium.png,A sea anemone feeds on a large pale fish.,"An orange sea anemone on the sandy seabed feeds on a large, round grey and white fish.",Underwater coral reef fish feeds on algae.
obs_195713651_photo_344383957,https://inaturalist-open-data.s3.amazonaws.com/photos/344383957/medium.jpeg,A dark flatworm engulfing a mottled brown slug.,"A shiny, dark-colored flatworm wrapped tightly around a mottled brown slug on sandy, moss-covered ground, feeding on its prey.",The image shows a close-up of a black slug with a shell crawling over a rock surface.
obs_220102252_photo_389649357,https://inaturalist-open-data.s3.amazonaws.com/photos/389649357/medium.jpeg,The fuzzy insect is not feeding on the green leaf.,"A white, fuzzy fungus grows from and feeds on the body of a fly clinging to the underside of a green leaf.",The bee hovers over a white flower to feed.
obs_220822650_photo_391000325,https://inaturalist-open-data.s3.amazonaws.com/photos/391000325/medium.jpeg,"A grey bird stands in shallow water, feeding on a reddish sea slug.","A seagull stands on a wet sandy beach, looking down at a reddish-orange sea cucumber in the shallow water.",An animal eating something on the ground.
obs_250956763_photo_448935283,https://inaturalist-open-data.s3.amazonaws.com/photos/448935283/medium.jpg,A translucent nudibranch with brown markings feeds on a colony of orange-rimmed sea squirts.,"A patterned, ruffled marine flatworm feeds on a cluster of translucent sea squirts with orange-rimmed openings.",A red and white anemone with red tentacles is feeding on an orange sea coral under water.
obs_256022699_photo_458927175,https://inaturalist-open-data.s3.amazonaws.com/photos/458927175/medium.jpeg,"A translucent, segmented arthropod curled around and feeding on green plant leaves.","A pale, segmented millipede curled around a sprig of green foliage, feeding on the leaves.",Dormouse feeding on wild shrubbery.
obs_258568965_photo_463949088,https://inaturalist-open-data.s3.amazonaws.com/photos/463949088/medium.jpg,"Translucent fungal mycelium appears to be feeding on a textured, granular surface.",A dirt-covered brown slug with an iridescent sheen crawls on and feeds on decaying wood.,Close-up of sea coral feeding on rock surface.
obs_263836670_photo_474047112,https://inaturalist-open-data.s3.amazonaws.com/photos/474047112/medium.jpeg,A seagull swallowing a purple starfish.,"A close-up of a grey seagull swallowing a bumpy, purple starfish.",The bird is using its mouth to eat fish with a spiky head.
obs_264953671_photo_475827468,https://inaturalist-open-data.s3.amazonaws.com/photos/475827468/medium.jpeg,An orange slug is feeding on a brown moth on a green stem.,A reddish-orange velvet worm perched on a thin green stem feeds on a captured brown and white moth.,Brown butterfly is feeding on orange flower.
obs_291009479_photo_523542929,https://inaturalist-open-data.s3.amazonaws.com/photos/523542929/medium.jpg,A reddish-brown centipede feeds on a dark ant on mossy ground.,A reddish-brown velvet worm on mossy ground feeds on a dark cricket among green grass blades.,An unidentified plant is feeding off of the ground.
obs_302755190_photo_545634287,https://inaturalist-open-data.s3.amazonaws.com/photos/545634287/medium.jpg,Insect larvae feeding inside white galls on a green leaf.,A close-up of white scale insects feeding on a vibrant green leaf.,"The image shows two photos of a plant with holes in it that appear to have been eaten or bored into, possibly by insects or other creatures. The top photo is taken from a higher angle, showing more of the surrounding area, and the bottom one focuses on the damage to the leaf with a close-up view."
obs_318344322_photo_575337712,https://inaturalist-open-data.s3.amazonaws.com/photos/575337712/medium.jpg,This image does not depict any organisms feeding on others.,"A cluster of small, dark slipper snails stacked together on damp sand next to a US penny.",
obs_318533969_photo_575706140,https://inaturalist-open-data.s3.amazonaws.com/photos/575706140/medium.jpg,A bark-mimicking insect feeds on a tree branch.,"A brown scale insect clings to a thin branch, feeding on the plant's sap.","This image depicts an object that resembles a snail, or possibly an insect with a white, spiral shell, crawling across the branch of a tree. The background is blurred but appears to be a wooded area with brown leaves and dirt. There is no text present in the image to provide additional context."
obs_319669394_photo_577875426,https://inaturalist-open-data.s3.amazonaws.com/photos/577875426/medium.jpg,Orange rust fungus feeds on a green leaf.,"A close-up of a tiny, pinkish larva feeding on orange rust fungus spores on a green leaf.",Moss growing on the surface of a leaf.
obs_321389820_photo_581234419,https://inaturalist-open-data.s3.amazonaws.com/photos/581234419/medium.jpg,"A male Eider duck on dark water, swallowing a sea urchin.","A male common eider swimming in dark, choppy water, holding a round, reddish-brown sea urchin in its wide-open bill.",Black and white duck swimming in body of water.
obs_323944435_photo_586236533,https://inaturalist-open-data.s3.amazonaws.com/photos/586236533/medium.jpg,"An unseen organism feeds on a juniper branch, forming a brown gall.",A brown cedar-apple rust fungus gall grows on and feeds on a green juniper branch with blue berries.,Blueberries growing on a pine tree branch.
obs_325267824_photo_588882003,https://inaturalist-open-data.s3.amazonaws.com/photos/588882003/medium.jpg,An orange ladybug feeds on a fuzzy brown object.,"An orange ladybug perched on a grey surface, standing over the fuzzy cocoon of a parasitic wasp that has fed on its body.",Ant in front of beetle.
